ID;tipo;pH;Mg;Ca;Na;K;Fe;HCO3;Cl;SO4;NO3;NO2;CE;SDT
M-33212;ABA;1.256117592;-0.229723432;-0.323966126;0.615197086;-0.28237225;1.509852897;-0.072760447;-0.681021214;-0.248329385;-0.341965038;0.966091783;0.877216799;-0.410765162
M-33625;ABA;1.908651338;-1.117987369;-0.394782842;4.404492793;-0.889269562;-0.797264585;0.256657106;-0.681021214;-0.238433064;-0.34954104;-1.035098339;0.12564367;-0.256902753
M-33210;Pozo;0.363176677;-0.525811411;-0.394782842;0.091387025;-0.5908334;-0.168050727;-0.402178001;-0.681021214;-0.208744104;-0.220749012;0.966091783;-0.200259722;-0.524137464
M-33221;Pozo profundo;0.729511411;-0.229723432;-0.25314941;0.185404215;0.797241774;-0.587526632;-0.161792219;-0.454338652;-0.233484904;-0.129836993;0.966091783;-0.073889019;-0.119236386
M-33128;Pozo profundo;0.512000162;0.658540505;-0.300360554;-0.795060771;0.565895912;-0.587526632;-0.215211281;-0.207048584;-0.213692264;0.021683039;-1.035098339;-0.300026067;-0.184020559
M-33216;Pozo profundo;-0.140533584;-0.82189939;-0.323966126;-0.311543792;0.257434762;-0.587526632;-0.366565292;-0.454338652;-0.174106984;-0.11468499;0.966091783;0.205456746;-0.499843399
M-33237;Pozo profundo;-2.590397121;-1.117987369;-0.512810702;-1.157698506;-1.747562712;-0.587526632;-0.847336857;-0.55737618;-0.253277545;0.748979193;0.966091783;-1.005041568;-1.236763361
M-33243;Pozo profundo;0.042633784;0.066364547;-0.323966126;-0.177233519;1.414164073;0.670901085;-0.18850175;-0.722236225;-0.253277545;-0.341965038;0.966091783;-0.375183379;-0.111138365
M-33595;Pozo profundo;0.317384835;-0.229723432;-0.347571698;-0.191067477;1.641962633;0.808908658;-0.286436698;-0.742843731;-0.238433064;-0.34954104;-1.035098339;-0.440364058;-0.127334408
M-33222;Pozo;0.260145032;0.954628484;-0.229543838;0.158542161;2.185316948;2.348804708;0.114206272;-0.722236225;-0.228536744;-0.341965038;0.966091783;0.13229476;0.180390411
M-33364;Pozo;0.260145032;-0.229723432;-0.229543838;0.118249079;1.182818211;-0.587526632;-0.143985864;-0.722236225;-0.253277545;-0.341965038;0.966091783;0.824008082;-0.103040343
M-33365;Pozo;-0.140533584;0.954628484;-0.040699262;0.30628346;1.105702924;-0.587526632;-0.001535031;-0.371908629;0.573065185;-0.341965038;0.966091783;0.597871034;0.075116131
M-33616;Pozo;1.404941078;0.066364547;-0.276754982;-0.062008737;1.113800029;2.302242883;-0.18850175;-0.735218954;-0.24387604;-0.34954104;-1.035098339;-0.319314226;-0.013962106
M-33122;Pozo;0.076977665;0.066364547;-0.37117727;-0.123509411;0.488780624;1.929328802;-0.286436698;-0.742843731;-0.223588584;-0.34954104;-1.035098339;-0.473619506;-0.232608688
M-33130;Pozo;-0.80451529;-0.82189939;-0.48920513;-0.324974819;-1.2077557;-0.797264585;-0.633660606;-0.207048584;-0.243381224;0.006531036;-1.035098339;-0.911926313;-0.864254369
M-33127;Pozo;0.477656281;0.658540505;-0.300360554;-0.60702639;-0.513718113;-0.37778868;-0.339855761;2.018562029;-0.258225705;-0.34954104;-1.035098339;2.387014147;1.47607386
M-33098;Pozo;-0.117637663;-0.82189939;-0.465599558;-0.701043581;-0.667948688;-0.797264585;-0.526822481;-0.495553663;-0.248329385;-0.296509028;-1.035098339;-0.911926313;-0.904744477
M-33369;Pozo;0.798199174;0.362452526;0.21896203;-0.526440227;0.180319474;-0.587526632;0.194334866;-0.08340355;-0.243381224;-0.341965038;0.966091783;0.225410015;-0.038256171
M-33208;Aljibe;0.225801151;0.066364547;-0.064304834;-0.096647356;0.874357061;0.670901085;-0.081663625;0.184494024;-0.124625383;-0.341965038;0.966091783;0.225410015;0.058920088
M-33370;Aljibe;0.237249112;0.954628484;1.824140924;0.239128324;-0.359487538;-0.587526632;1.921551227;1.606411915;-0.258225705;-0.341965038;0.966091783;3.457839578;1.265525299
M-33119;Aljibe;0.420416479;0.658540505;-0.040699262;-0.284681737;-0.513718113;1.090376991;-0.06385727;-0.000973527;-0.020714022;-0.34954104;-1.035098339;0.079086043;0.083214153
M-33117;Aljibe;0.500552202;0.954628484;0.927129189;-0.472716118;0.180319474;-0.797264585;1.075749401;-0.08340355;-0.188951464;-0.34954104;-1.035098339;-1.250200732;0.8525262
M-33367;Aljibe;-1.30822555;-0.82189939;-0.347571698;-0.714474608;0.103204187;-0.587526632;-0.642563783;1.730056949;-0.243381224;0.718675187;0.966091783;-0.439698949;-0.856156348
M-33118;Aljibe;0.134217467;0.954628484;0.030117454;-0.486147145;-0.051026388;1.090376991;0.114206272;-0.000973527;-0.260699785;-0.34954104;-1.035098339;0.338478539;0.658173683
M-33134;Aljibe;-0.541212199;-1.117987369;-0.323966126;-0.768198717;-1.284870987;-0.797264585;-0.633660606;0.102064001;-0.218640424;0.203507078;-1.035098339;-0.794202027;-1.050508865
M-33430;Aljibe;-2.910940014;-0.82189939;-0.465599558;1.756834399;-0.436602825;-0.587526632;-0.820627325;3.461087425;-0.193899624;5.052148106;0.966091783;0.810705903;-0.281196817
M-33125;Aljibe;-0.827411211;-0.82189939;-0.37117727;-0.741336662;-0.667948688;-0.41973627;-0.669273314;1.050009262;-0.104832743;0.218659081;-1.035098339;-0.737667765;-0.977626671
M-33126;Aljibe;0.225801151;3.619420295;4.680415133;0.534610923;-1.053525125;-0.797264585;4.432247174;-0.186441078;5.229283802;-0.326813035;0.966091783;-1.221002449;4.140322951
M-33097;Aljibe;-0.770171409;-1.266031359;-0.48920513;0.131680106;-1.824677999;-0.797264585;-0.535725658;-0.619198697;-0.184003304;-0.34954104;-1.035098339;-0.832113237;0.002233937
